dataset,backbone,method,split_count,unit,P_mean,P_std,P_mean_defined_only,P_defined_splits,W_mean,W_std,W_mean_defined_only,W_defined_splits,balanced_mean,balanced_std,balanced_mean_defined_only,balanced_defined_splits,macro_mean,macro_std,macro_mean_defined_only,macro_defined_splits,worst_mean,worst_std,worst_mean_defined_only,worst_defined_splits,PLCC_mean,PLCC_std,PLCC_mean_defined_only,PLCC_defined_splits,RMSE_mean,RMSE_std,RMSE_mean_defined_only,RMSE_defined_splits,centered_PLCC_mean,centered_PLCC_std,centered_PLCC_mean_defined_only,centered_PLCC_defined_splits
AGIQA-3K-full,RN50,sample_at_cc,5,overlapping_split_sensitivity,0.8457180555220788,0.008184963685642081,0.8457180555220788,5,0.6252283816718536,0.039106564915271876,0.6252283816718536,5,0.7354732185969661,0.02354049293015761,0.7354732185969661,5,0.6053106628456557,0.031190318020075818,0.6053106628456557,5,0.3633963441216547,0.10718573046778831,0.3633963441216547,5,0.8866858708645324,0.009919054655042048,0.8866858708645324,5,0.4862567452736206,0.04687006672850145,0.4862567452736206,5,0.7653722621110399,0.027289250402078854,0.7653722621110399,5
AGIQA-3K-full,RN50,uncentered_at_cc,5,overlapping_split_sensitivity,0.841655427060061,0.010539504529201986,0.841655427060061,5,0.5968374946459811,0.045643034871486896,0.5968374946459811,5,0.719246460853021,0.028018841214947583,0.719246460853021,5,0.5834201644749436,0.03894461130976542,0.5834201644749436,5,0.3413582733189883,0.10258993633921197,0.3413582733189883,5,0.8941129136399791,0.006026530008910998,0.8941129136399791,5,0.45136614393647373,0.006073793162233359,0.45136614393647373,5,0.7522920273671466,0.020910800582832723,0.7522920273671466,5
AGIQA-3K-full,RN50,centered_only_at_cc,5,overlapping_split_sensitivity,,,0.8138690690465594,3,,,0.5838368029795676,3,,,0.6988529360130636,3,,,0.6101793170313633,3,,,0.4047960787683222,3,,,0.8454565162491937,3,0.7805454328097271,0.212778894949726,0.7805454328097271,5,,,0.7560090132582009,3
AIGCIQA2023,RN50,ridge_fixed,5,overlapping_split_sensitivity,0.7707916571032256,0.01977972567854535,0.7707916571032256,5,0.37915273085057316,0.02325696545133004,0.37915273085057316,5,0.5749721939768995,0.02099994038924949,0.5749721939768995,5,0.37915264167136276,0.02325683198415384,0.37915264167136276,5,0.09541043185646247,0.09981907546269261,0.09541043185646247,5,0.7832049815864259,0.0241940449826045,0.7832049815864259,5,0.0632913214720539,0.004578333484150029,0.0632913214720539,5,0.5193992718179,0.047893770827263746,0.5193992718179,5
AIGCIQA2023,RN50,cc_alpha10,5,overlapping_split_sensitivity,0.7806718261557911,0.026565487102231857,0.7806718261557911,5,0.41746339144743816,0.03745039270604663,0.41746339144743816,5,0.5990676088016146,0.03175911072384874,0.5990676088016146,5,0.41746338313648856,0.03745038437641138,0.41746338313648856,5,0.12878021672686854,0.10534780273425903,0.12878021672686854,5,0.7890406586514509,0.027279529233020103,0.7890406586514509,5,0.062147615216223716,0.0048286831460130596,0.062147615216223716,5,0.5915578005340009,0.05264889728945922,0.5915578005340009,5
AIGCIQA2023,RN50,ridge_tuned15,5,overlapping_split_sensitivity,0.7823404090107715,0.039068603683421944,0.7823404090107715,5,0.3895704603397689,0.07224749913777433,0.3895704603397689,5,0.5859554346752701,0.05519572576506857,0.5859554346752701,5,0.38957043843648903,0.07224747545766025,0.38957043843648903,5,0.10991942206168377,0.08883836078602834,0.10991942206168377,5,0.7962803583030122,0.05000420237389852,0.7962803583030122,5,0.0581538369809911,0.0074104068036824604,0.0581538369809911,5,0.5580802451831579,0.08436506251707412,0.5580802451831579,5
AIGCIQA2023,RN50,cc_joint,5,overlapping_split_sensitivity,0.784292738868595,0.03252143922763994,0.784292738868595,5,0.3983321512881346,0.056939733353935255,0.3983321512881346,5,0.5913124450783648,0.04422170713195565,0.5913124450783648,5,0.3983321429771851,0.05693972438486309,0.3983321429771851,5,0.118010558488469,0.07958147893499404,0.118010558488469,5,0.797285707094008,0.03842377115729704,0.797285707094008,5,0.059046252861250134,0.005539720666803097,0.059046252861250134,5,0.5761972718233456,0.06762312877834267,0.5761972718233456,5
AIGCIQA2023,RN50,ridge_matched,5,overlapping_split_sensitivity,0.7821010552936076,0.03892295763693632,0.7821010552936076,5,0.3889406542460855,0.07155321004312892,0.3889406542460855,5,0.5855208547698466,0.05478129110282583,0.5855208547698466,5,0.38894062928031475,0.07155318394548098,0.38894062928031475,5,0.11079744373437064,0.09109625942069291,0.11079744373437064,5,0.7961770791141869,0.049907607178796255,0.7961770791141869,5,0.0581944372600296,0.007382259557280471,0.0581944372600296,5,0.5577849652629004,0.08401462402912349,0.5577849652629004,5
AIGCIQA2023,RN50,sample_joint,5,overlapping_split_sensitivity,0.784292738868595,0.03252143922763994,0.784292738868595,5,0.3983321512881346,0.056939733353935255,0.3983321512881346,5,0.5913124450783648,0.04422170713195565,0.5913124450783648,5,0.3983321429771851,0.05693972438486309,0.3983321429771851,5,0.118010558488469,0.07958147893499404,0.118010558488469,5,0.7972857070940083,0.03842377115729671,0.7972857070940083,5,0.059046252861250106,0.005539720666803091,0.059046252861250106,5,0.5761972718233461,0.06762312877834238,0.5761972718233461,5
AIGCIQA2023,RN50,uncentered_joint,5,overlapping_split_sensitivity,0.7821010552936076,0.03892295763693632,0.7821010552936076,5,0.3889406542460855,0.07155321004312892,0.3889406542460855,5,0.5855208547698466,0.05478129110282583,0.5855208547698466,5,0.38894062928031475,0.07155318394548098,0.38894062928031475,5,0.11079744373437064,0.09109625942069291,0.11079744373437064,5,0.7961770791141869,0.04990760717879629,0.7961770791141869,5,0.058194437260029576,0.007382259557280481,0.058194437260029576,5,0.5577849652629003,0.08401462402912352,0.5577849652629003,5
AIGCIQA2023,RN50,sample_at_cc,5,overlapping_split_sensitivity,0.784292738868595,0.03252143922763994,0.784292738868595,5,0.3983321512881346,0.056939733353935255,0.3983321512881346,5,0.5913124450783648,0.04422170713195565,0.5913124450783648,5,0.3983321429771851,0.05693972438486309,0.3983321429771851,5,0.118010558488469,0.07958147893499404,0.118010558488469,5,0.7972857070940083,0.03842377115729671,0.7972857070940083,5,0.059046252861250106,0.005539720666803091,0.059046252861250106,5,0.5761972718233461,0.06762312877834238,0.5761972718233461,5
AIGCIQA2023,RN50,uncentered_at_cc,5,overlapping_split_sensitivity,0.7862252126486595,0.028869181689150883,0.7862252126486595,5,0.3959796480771033,0.05971609822318276,0.3959796480771033,5,0.5911024303628815,0.04379689301844229,0.5911024303628815,5,0.3959796261738235,0.05971607251233878,0.3959796261738235,5,0.1139983328702417,0.09398203714927254,0.1139983328702417,5,0.8033602606586354,0.03340317427858086,0.8033602606586354,5,0.05738475313859218,0.005365975087013323,0.05738475313859218,5,0.5679041603931732,0.06261864891995082,0.5679041603931732,5
AIGCIQA2023,RN50,centered_only_at_cc,5,overlapping_split_sensitivity,0.6664790717348349,0.09098837816587013,0.6664790717348349,5,0.3829371228605676,0.07748491061768624,0.3829371228605676,5,0.5247080972977012,0.08399336018450737,0.5247080972977012,5,0.3829371305523001,0.07748491560184627,0.3829371305523001,5,0.07259794387329813,0.11880580709054532,0.07259794387329813,5,0.6568740955965857,0.0889202337002539,0.6568740955965857,5,0.07589628239828346,0.008752774611754098,0.07589628239828346,5,0.5701520087752596,0.09312084563242576,0.5701520087752596,5
AIGCIQA2023,ViT-B-32,ridge_fixed,5,overlapping_split_sensitivity,0.7629675226345272,0.01968639292703916,0.7629675226345272,5,0.3688535764566156,0.04360311506444288,0.3688535764566156,5,0.5659105495455714,0.03067621415136247,0.5659105495455714,5,0.36885347950548464,0.04360299236601757,0.36885347950548464,5,0.07722757333743747,0.12842855227918218,0.07722757333743747,5,0.7713586993540592,0.020217358564458797,0.7713586993540592,5,0.06516767296834637,0.003930607137440647,0.06516767296834637,5,0.5000401936841132,0.0546535532522471,0.5000401936841132,5
AIGCIQA2023,ViT-B-32,cc_alpha10,5,overlapping_split_sensitivity,0.7735583968456897,0.026782016703995794,0.7735583968456897,5,0.41288249756719064,0.05572380069568208,0.41288249756719064,5,0.5932204472064402,0.04109033923754856,0.5932204472064402,5,0.41288246260779565,0.05572375963162131,0.41288246260779565,5,0.1397388163378716,0.13980072651171518,0.1397388163378716,5,0.7771907464098127,0.025647951851185652,0.7771907464098127,5,0.06402018564085861,0.004362212780171869,0.06402018564085861,5,0.5738240025773919,0.06941536404592129,0.5738240025773919,5
AIGCIQA2023,ViT-B-32,ridge_tuned15,5,overlapping_split_sensitivity,0.7794269605437716,0.014474674547733263,0.7794269605437716,5,0.3900335454884936,0.03376983230247554,0.3900335454884936,5,0.5847302530161327,0.023731245674948297,0.5847302530161327,5,0.3900334800071756,0.03376971573237139,0.3900334800071756,5,0.12060016671297583,0.11381073734964163,0.12060016671297583,5,0.7950105547906936,0.012962312118637243,0.7950105547906936,5,0.05859796256170444,0.003240913874025671,0.05859796256170444,5,0.5498589675477963,0.03872835911467267,0.5498589675477963,5
