key,dataset,seed,backbone,regime,family,delta,alpha,lambda,P,W,balanced,macro,worst,PLCC,RMSE,centered_PLCC,heldout
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,sample_joint,0.005,10.0,10.0,0.7552813231770217,0.7552813231770217,0.7552813231770217,0.7552813231770217,0.7552813231770217,0.7592528470052793,0.7323461896535152,0.7592528470052793,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,uncentered_joint,0.005,1.0,0.03,0.7410454955585521,0.7410454955585521,0.7410454955585521,0.7410454955585521,0.7410454955585521,0.7428682021155664,0.6098390848807782,0.7428682021155663,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,cc_joint,0.01,3.0,1.0,0.7497147723494374,0.7497147723494374,0.7497147723494374,0.7497147723494374,0.7497147723494374,0.7533590147216918,0.6700507083424935,0.7533590147216918,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,ridge_matched,0.01,0.7692307692307692,0.0,0.7412139432222237,0.7412139432222237,0.7412139432222237,0.7412139432222237,0.7412139432222237,0.7426660690604497,0.5950856444685536,0.7426660690604499,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,sample_joint,0.01,10.0,10.0,0.7552813231770217,0.7552813231770217,0.7552813231770217,0.7552813231770217,0.7552813231770217,0.7592528470052793,0.7323461896535152,0.7592528470052793,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,uncentered_joint,0.01,1.0,0.03,0.7410454955585521,0.7410454955585521,0.7410454955585521,0.7410454955585521,0.7410454955585521,0.7428682021155664,0.6098390848807782,0.7428682021155663,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,cc_joint,0.02,3.0,1.0,0.7497147723494374,0.7497147723494374,0.7497147723494374,0.7497147723494374,0.7497147723494374,0.7533590147216918,0.6700507083424935,0.7533590147216918,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,ridge_matched,0.02,0.7692307692307692,0.0,0.7412139432222237,0.7412139432222237,0.7412139432222237,0.7412139432222237,0.7412139432222237,0.7426660690604497,0.5950856444685536,0.7426660690604499,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,sample_joint,0.02,10.0,10.0,0.7552813231770217,0.7552813231770217,0.7552813231770217,0.7552813231770217,0.7552813231770217,0.7592528470052793,0.7323461896535152,0.7592528470052793,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,uncentered_joint,0.02,1.0,0.03,0.7410454955585521,0.7410454955585521,0.7410454955585521,0.7410454955585521,0.7410454955585521,0.7428682021155664,0.6098390848807782,0.7428682021155663,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,cc_joint,0.05,3.0,1.0,0.7497147723494374,0.7497147723494374,0.7497147723494374,0.7497147723494374,0.7497147723494374,0.7533590147216918,0.6700507083424935,0.7533590147216918,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,ridge_matched,0.05,0.7692307692307692,0.0,0.7412139432222237,0.7412139432222237,0.7412139432222237,0.7412139432222237,0.7412139432222237,0.7426660690604497,0.5950856444685536,0.7426660690604499,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,sample_joint,0.05,10.0,10.0,0.7552813231770217,0.7552813231770217,0.7552813231770217,0.7552813231770217,0.7552813231770217,0.7592528470052793,0.7323461896535152,0.7592528470052793,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,uncentered_joint,0.05,1.0,0.03,0.7410454955585521,0.7410454955585521,0.7410454955585521,0.7410454955585521,0.7410454955585521,0.7428682021155664,0.6098390848807782,0.7428682021155663,glide
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,cc_joint,0.0,10.0,10.0,0.8199166959270836,0.8199166959270836,0.8199166959270836,0.8199166959270836,0.8199166959270836,0.8281744279562923,0.6657793491389996,0.828174427956292,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,ridge_matched,0.0,0.9900990099009901,0.0,0.8096061792177722,0.8096061792177722,0.8096061792177722,0.8096061792177722,0.8096061792177722,0.8226588096640643,0.5425969236903506,0.8226588096640646,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,sample_joint,0.0,10.0,10.0,0.8204687476059574,0.8204687476059574,0.8204687476059574,0.8204687476059574,0.8204687476059574,0.8283703973062099,0.6707018010739448,0.8283703973062099,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,uncentered_joint,0.0,1.0,0.0,0.8096446754743114,0.8096446754743114,0.8096446754743114,0.8096446754743114,0.8096446754743114,0.8226547757425928,0.5428082534817139,0.8226547757425928,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,cc_joint,0.005,10.0,10.0,0.8199166959270836,0.8199166959270836,0.8199166959270836,0.8199166959270836,0.8199166959270836,0.8281744279562923,0.6657793491389996,0.828174427956292,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,ridge_matched,0.005,0.9900990099009901,0.0,0.8096061792177722,0.8096061792177722,0.8096061792177722,0.8096061792177722,0.8096061792177722,0.8226588096640643,0.5425969236903506,0.8226588096640646,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,sample_joint,0.005,10.0,10.0,0.8204687476059574,0.8204687476059574,0.8204687476059574,0.8204687476059574,0.8204687476059574,0.8283703973062099,0.6707018010739448,0.8283703973062099,midjourney
agiqa3k__rn50__split42__logo_midjourney,AGIQA-3K,42,RN50,logo,uncentered_joint,0.005,1.0,0.0,0.8096446754743114,0.8096446754743114,0.8096446754743114,0.8096446754743114,0.8096446754743114,0.8226547757425928,0.5428082534817139,0.8226547757425928,midjourney
