key,dataset,seed,backbone,regime,family,candidate_index,alpha,lambda,P,W,balanced,macro,worst,PLCC,RMSE,centered_PLCC,selected,validation_only,config_sha256,heldout
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,44,30.0,100.0,0.848909243968072,0.6038489029756814,0.7263790734718767,0.5876834183447489,0.3444015444015444,0.8732760181359662,0.6058583582466142,0.6962071092249199,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,45,100.0,0.0,0.7948207738727623,0.40646000206968813,0.6006403879712252,0.3887769949637523,0.12615384615384614,0.8592528162171674,0.8747929935359071,0.5157899684532171,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,46,100.0,0.03,0.7948344417813107,0.4075220202749338,0.6011782310281222,0.3930275362913063,0.13692307692307693,0.8599846961723764,0.8738424370308104,0.5188776678597493,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,47,100.0,0.1,0.7980293154044859,0.41059821093840376,0.6043137631714448,0.39685926752252904,0.14615384615384616,0.8615833171592185,0.8716604683203586,0.5257331407996426,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,48,100.0,0.3,0.80333588089838,0.43202168163042715,0.6176787812644036,0.4159709492102288,0.14846153846153845,0.8654179407024598,0.8656880867372879,0.5429175288533478,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,49,100.0,1.0,0.8125708311075438,0.4608060371243253,0.6366884341159346,0.4545890896982296,0.1676923076923077,0.873181116777461,0.8473513822523286,0.5833732417449483,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,50,100.0,3.0,0.827037173313586,0.5021881258114815,0.6646126495625337,0.49428160039958624,0.2423076923076923,0.8780660337574704,0.8093465769720757,0.6299755681057604,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,51,100.0,10.0,0.8385409963417747,0.5594272449424774,0.6989841206421261,0.5506056559007223,0.29806949806949806,0.8765040591156124,0.7428672758639194,0.6673821990800736,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,52,100.0,30.0,0.8462998124277175,0.5952795146988721,0.7207896635632948,0.5910541810121737,0.3009009009009009,0.8755112137329475,0.6808512291273037,0.6896720095086947,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,53,100.0,100.0,0.8489684715717815,0.6087561595102645,0.728862315541023,0.5987881450308569,0.3528957528957529,0.8740417525324813,0.636632943235608,0.7002919414317,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
